n,median_seconds,mean_seconds,samples
12,0.006639000,0.006682000,"[0.00685, 0.006639, 0.006557]"
13,0.035786000,0.036014000,"[0.035728, 0.035786, 0.036528]"
14,0.211593000,0.211887667,"[0.212525, 0.211545, 0.211593]"
