scenario,scheduler,n,workers,split_depth,abp_capacity,chase_log_capacity,steal_attempt_budget,elapsed_seconds_median,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_min,elapsed_seconds_max,speedup_median,speedup_mean,speedup_std,speedup_min,speedup_max,tasks_per_second_median,tasks_per_second_mean,tasks_per_second_std,tasks_per_second_min,tasks_per_second_max,successful_steals_median,successful_steals_mean,successful_steals_std,successful_steals_min,successful_steals_max,failed_steal_attempts_median,failed_steal_attempts_mean,failed_steal_attempts_std,failed_steal_attempts_min,failed_steal_attempts_max,steal_aborts_median,steal_aborts_mean,steal_aborts_std,steal_aborts_min,steal_aborts_max,idle_seconds_median,idle_seconds_mean,idle_seconds_std,idle_seconds_min,idle_seconds_max,load_stddev_median,load_stddev_mean,load_stddev_std,load_stddev_min,load_stddev_max,load_range_median,load_range_mean,load_range_std,load_range_min,load_range_max,abp_overflows_median,abp_overflows_mean,abp_overflows_std,abp_overflows_min,abp_overflows_max,chase_lev_resizes_median,chase_lev_resizes_mean,chase_lev_resizes_std,chase_lev_resizes_min,chase_lev_resizes_max,inline_overflow_tasks_median,inline_overflow_tasks_mean,inline_overflow_tasks_std,inline_overflow_tasks_min,inline_overflow_tasks_max
scaling,chaselev,13,4,6,4096,4,0,0.033726,0.034820333333333335,0.0027171375256569825,0.032821,0.037914,1.061080472,1.0317639836666668,0.07750890281764905,0.943872976,1.090338503,4636600.84208,4508496.651100666,338690.4707440101,4124439.521021,4764449.590201,79.0,77.0,8.18535277187245,68,84,30.0,27.0,7.937253933193772,18,33,0.0,1.3333333333333333,2.3094010767585034,0,4,0.0,3.333333333333333e-07,5.773502691896258e-07,0.0,1e-06,2985.276578,2608.4186290000002,784.4961806880169,1706.60489,3133.374419,7624.0,6965.0,2197.8892146784833,4513,8758,0.0,0.0,0.0,0,0,8.0,8.0,0.0,8,8,0.0,0.0,0.0,0,0
scaling,chaselev,13,8,6,4096,4,0,0.028681,0.028741666666666665,0.0011811690536639267,0.027592,0.029952,1.247724975,1.246491141,0.0511070834901231,1.194778312,1.296970136,5452180.886301,5446789.405929667,223322.50312503922,5220819.978632,5667367.352856,197.0,192.33333333333334,9.865765724632492,181,199,161.0,150.33333333333334,43.003875794320365,103,187,3.0,4.666666666666667,2.8867513459481287,3,8,0.0,3.333333333333333e-07,5.773502691896258e-07,0.0,1e-06,3663.198833,3347.898222,1455.5676816354999,1760.521922,4619.973911,11072.0,9066.333333333334,3895.2158262839985,4577,11550,0.0,0.0,0.0,0,0,15.0,15.333333333333334,0.5773502691896258,15,16,0.0,0.0,0.0,0,0
scaling,chaselev,13,16,6,4096,4,0,0.026856,0.026839000000000002,0.00024693926378767736,0.026584,0.027077,1.33251415,1.3334335,0.012280720059114158,1.321638291,1.346148059,5822683.943998,5826701.226558999,53663.03400316386,5775159.72966,5882260.006019,594.0,524.6666666666666,162.50025641005413,339,641,980.0,944.0,312.5587944691366,615,1237,17.0,21.333333333333332,8.386497083606084,16,31,3e-06,3.333333333333333e-06,1.5275252316519468e-06,2e-06,5e-06,1360.347239,1355.39109,285.5756744494565,1067.369598,1638.456433,4286.0,4631.666666666667,749.8468732570226,4117,5492,0.0,0.0,0.0,0,0,25.0,25.333333333333332,0.5773502691896255,25,26,0.0,0.0,0.0,0,0
scaling,chaselev,14,1,6,4096,4,0,0.279729,0.281266,0.0026664933902037025,0.279724,0.284345,0.756421394,0.7523327026666666,0.007093533010334507,0.7441418,0.756434914,1096486.242041,1090559.3955539998,10282.577519056013,1078686.103149,1096505.841472,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,2.0,2.0,0.0,2,2,0.0,0.0,0.0,0,0
scaling,chaselev,14,2,6,4096,4,0,0.162371,0.160935,0.0035968315223262747,0.156842,0.163592,1.303145266,1.315216017,0.029730786712443398,1.293418994,1.349083791,1889001.114731,1906498.5208373333,43096.875925588254,1874902.195706,1955592.252075,15.0,15.666666666666666,1.1547005383792515,15,17,4.0,5.333333333333333,4.163331998932265,2,10,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2425.5,2219.5,460.0032608580074,1692.5,2540.5,4851.0,4439.0,920.0065217160148,3385,5081,0.0,0.0,0.0,0,0,4.0,4.0,0.0,4,4,0.0,0.0,0.0,0,0
scaling,chaselev,14,4,6,4096,4,0,0.090855,0.09286866666666667,0.0035059752328465404,0.090834,0.096917,2.328908701,2.2805316970000002,0.08425814605153145,2.183239267,2.329447123,3375917.671014,3305791.786733,122138.13487161197,3164759.536511,3376698.152674,79.0,81.33333333333333,8.736894948054106,74,91,28.0,46.333333333333336,36.17089069035118,23,88,1.0,1.3333333333333333,1.5275252316519468,0,3,0.0,0.0,0.0,0.0,0.0,4740.556633,4956.757771333333,531.2837054430018,4567.661019,5562.055662,11568.0,12163.333333333334,1104.6924157127778,11484,13438,0.0,0.0,0.0,0,0,8.0,8.0,0.0,8,8,0.0,0.0,0.0,0,0
scaling,chaselev,14,8,6,4096,4,0,0.067346,0.06648633333333333,0.0030323143526576057,0.063117,0.068996,3.14187925,3.187005141666667,0.14807520114258307,3.066743,3.352393175,4554375.909482,4619789.076232334,214645.4635902972,4445460.606412,4859530.712803,242.0,228.0,34.219877264537345,189,253,120.0,521.0,721.5656588280792,89,1354,7.0,6.666666666666667,1.5275252316519465,5,8,0.0,2.6666666666666664e-06,4.618802153517006e-06,0.0,8e-06,3483.374708,3274.594074,404.95109571988337,2807.85948,3532.548034,10474.0,10877.0,1565.8892042542473,9552,12605,0.0,0.0,0.0,0,0,16.0,16.0,0.0,16,16,0.0,0.0,0.0,0,0
scaling,chaselev,14,16,6,4096,4,0,0.055347,0.056903666666666665,0.004542648163057897,0.053344,0.06202,3.823025638,3.7337636166666663,0.28801094545677897,3.411689777,3.966575435,5541745.713408,5412354.108155,417492.20955412026,4945485.327314,5749831.283743,498.0,505.6666666666667,88.74870891079674,421,598,529.0,515.0,101.72511980823616,407,609,12.0,12.666666666666666,2.081665999466133,11,15,1e-06,6.666666666666666e-07,5.773502691896258e-07,0.0,1e-06,2241.204823,1975.3945109999997,505.45561349941516,1392.495982,2292.482728,8027.0,7302.333333333333,1467.0147692962514,5614,8266,0.0,0.0,0.0,0,0,28.0,28.0,1.0,27,29,0.0,0.0,0.0,0,0
scaling,global,12,1,5,4096,4,0,0.012241,0.012191,0.0004719904660054054,0.011696,0.012636,0.542357651,0.5451304063333334,0.02124928911009785,0.525403609,0.567629959,1781798.872641,1790908.1618973333,69809.94843619072,1726100.031656,1864825.581395,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
scaling,global,12,2,5,4096,4,0,0.012569,0.012934666666666665,0.0010484676119620164,0.012118,0.014117,0.528204312,0.5154503503333333,0.040331235699219696,0.470284055,0.547862684,1735301.13772,1693400.7512333335,132499.560618037,1545016.646596,1799884.469384,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,431.5,538.5,358.67673467901426,245.5,938.5,863.0,1077.0,717.3534693580285,491,1877,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
