scenario,scheduler,n,workers,split_depth,abp_capacity,chase_log_capacity,steal_attempt_budget,elapsed_seconds_median,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_min,elapsed_seconds_max,speedup_median,speedup_mean,speedup_std,speedup_min,speedup_max,tasks_per_second_median,tasks_per_second_mean,tasks_per_second_std,tasks_per_second_min,tasks_per_second_max,successful_steals_median,successful_steals_mean,successful_steals_std,successful_steals_min,successful_steals_max,failed_steal_attempts_median,failed_steal_attempts_mean,failed_steal_attempts_std,failed_steal_attempts_min,failed_steal_attempts_max,steal_aborts_median,steal_aborts_mean,steal_aborts_std,steal_aborts_min,steal_aborts_max,idle_seconds_median,idle_seconds_mean,idle_seconds_std,idle_seconds_min,idle_seconds_max,load_stddev_median,load_stddev_mean,load_stddev_std,load_stddev_min,load_stddev_max,load_range_median,load_range_mean,load_range_std,load_range_min,load_range_max,abp_overflows_median,abp_overflows_mean,abp_overflows_std,abp_overflows_min,abp_overflows_max,chase_lev_resizes_median,chase_lev_resizes_mean,chase_lev_resizes_std,chase_lev_resizes_min,chase_lev_resizes_max,inline_overflow_tasks_median,inline_overflow_tasks_mean,inline_overflow_tasks_std,inline_overflow_tasks_min,inline_overflow_tasks_max
abp_capacity,abp,13,8,7,4,4,0,0.109095,0.11419299999999999,0.013208701828718828,0.104293,0.129191,0.335844906,0.3235855286666667,0.03547831072311409,0.283603347,0.351308333,4504184.426417,4339767.772778333,475817.41516600887,3803546.686689,4711572.205229,9431.0,9054.666666666666,2918.753215558543,5966,11767,9120.0,6824.333333333333,4137.460130724324,2048,9305,529.0,518.3333333333334,325.13125554663816,188,838,4.2e-05,3.2e-05,2.3643180835073777e-05,5e-06,4.9e-05,6702.865861,7373.541578666667,1331.1897883680383,6511.084875,8906.674,20052.0,21768.333333333332,4216.197378365171,18681,26572,429519.0,435588.3333333333,17078.93747670894,422373,454873,0.0,0.0,0.0,0,0,429519.0,435588.3333333333,17078.93747670894,422373,454873
abp_capacity,abp,13,8,7,8,4,0,0.100735,0.10113466666666666,0.003820212079627683,0.09753,0.105139,0.363716682,0.3626224136666667,0.01362673783808043,0.348481534,0.375669025,4877986.797042,4863311.011798333,182755.01354699596,4673660.582657,5038285.655696,1030.0,994.0,435.11837469819636,542,1410,999.0,898.0,314.8920449932008,545,1150,83.0,85.0,23.065125189341593,63,109,3e-06,4.333333333333334e-06,2.3094010767585027e-06,3e-06,7e-06,5906.675355,6511.459822666667,2134.4189128030475,4744.692588,8883.011525,19112.0,21405.0,7101.783508387171,15733,29370,390659.0,391094.0,18202.398770491764,373113,409510,0.0,0.0,0.0,0,0,390659.0,391094.0,18202.398770491764,373113,409510
abp_capacity,abp,13,8,7,16,4,0,0.125873,0.132791,0.01592031855837062,0.1215,0.151,0.291079104,0.2784256813333333,0.031428844834982116,0.242642384,0.301555556,3903807.806281,3734106.412993333,421507.9924390109,3254198.675497,4044312.757202,201.0,202.33333333333334,13.051181300301257,190,216,141.0,1250.6666666666667,1970.6953933404657,85,3526,4.0,8.333333333333334,8.386497083606084,3,18,1e-06,1.7333333333333332e-05,2.8290163190291665e-05,1e-06,5e-05,7087.177488,7189.152952666667,599.5479369319916,6647.13269,7833.14868,23780.0,24771.666666666668,1760.2228078664734,23731,26804,174112.0,179804.33333333334,12048.196393374961,171657,193644,0.0,0.0,0.0,0,0,174112.0,179804.33333333334,12048.196393374961,171657,193644
abp_capacity,abp,13,8,7,32,4,0,0.146231,0.15372033333333335,0.018788973929763513,0.139831,0.175099,0.250555628,0.24060880366666668,0.027758489651011214,0.20924734,0.262023443,3360327.153613,3226925.305895,372283.0196187893,2806320.995551,3514127.768521,187.0,188.33333333333334,35.0190424388408,154,224,112.0,122.33333333333333,36.610563138708116,92,163,7.0,7.0,1.0,6,8,0.0,3.333333333333333e-07,5.773502691896258e-07,0.0,1e-06,3869.052888,3918.5712646666666,484.5606187184795,3460.671214,4425.989692,11439.0,11666.0,1973.3167510564542,9816,13743,3829.0,3802.3333333333335,810.329151230124,2979,4599,0.0,0.0,0.0,0,0,3829.0,3802.3333333333335,810.329151230124,2979,4599
abp_capacity,abp,13,8,7,64,4,0,0.142943,0.14770566666666665,0.022604487836120808,0.127862,0.172312,0.256318952,0.25183393833333334,0.037163227178308715,0.212631738,0.286551125,3437621.989185,3377471.2202606667,498414.67806681106,2851710.850086,3843080.821511,209.0,207.0,20.074859899884732,186,226,154.0,338.3333333333333,330.5969348516912,141,720,9.0,12.666666666666666,7.234178138070234,8,21,0.0,6.666666666666666e-07,1.1547005383792516e-06,0.0,2e-06,3136.867107,3691.161877666667,1107.252788569392,2970.523355,4966.095171,10727.0,12463.333333333334,3335.6628027025354,10354,16309,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
abp_capacity,abp,13,8,7,128,4,0,0.145247,0.14536933333333332,0.0005881210192922328,0.144852,0.146009,0.252253059,0.252043526,0.0010184693332000267,0.250936586,0.252940933,3383092.249754,3380282.1009790003,13659.200485374215,3365436.37721,3392317.675973,232.0,225.0,25.238858928247925,197,246,150.0,141.33333333333334,29.955522584881294,108,166,6.0,6.333333333333333,0.5773502691896257,6,7,1e-06,6.666666666666666e-07,5.773502691896258e-07,0.0,1e-06,3786.03711,4167.184223,1036.2443508542217,3375.491261,5340.024298,11173.0,13524.666666666666,4848.02561186854,10301,19100,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
abp_capacity,abp,13,8,7,256,4,0,0.146933,0.15048433333333333,0.02206043973571999,0.130415,0.174105,0.249358551,0.246914045,0.03531333042523058,0.210441975,0.280941609,3344272.559602,3311488.0630309996,473604.7860840771,2822342.839091,3767848.7904,218.0,208.33333333333334,25.890796305508513,179,228,1483.0,1463.6666666666667,1297.1080654029306,157,2751,12.0,12.0,1.0,11,13,2.2e-05,1.7666666666666668e-05,1.5947831618540915e-05,0.0,3.1e-05,3654.993365,4129.461882333333,1145.885232656214,3297.017364,5436.374918,11194.0,13330.0,4069.7047804478398,10773,18023,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
abp_capacity,abp,13,8,7,512,4,0,0.172111,0.15715833333333332,0.02690961912278457,0.126093,0.173271,0.21288006,0.23830206466666667,0.04527204642639538,0.211454889,0.290571245,2855041.223397,3195988.473357,607166.1163375261,2835927.535479,3896996.661195,225.0,211.66666666666666,40.67349669420289,166,244,161.0,145.0,29.46183972531247,111,163,6.0,5.666666666666667,2.5166114784235836,3,8,1e-06,1e-06,1e-06,0.0,2e-06,3415.960297,3150.0477480000004,680.4493189746473,2376.795321,3657.387626,10623.0,10477.666666666666,2706.9276557258295,7701,13109,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
abp_capacity,abp,13,8,7,1024,4,0,0.145012,0.15277266666666667,0.014999074682570682,0.143244,0.170062,0.252661849,0.241295717,0.022441650550471648,0.215444955,0.255780347,3388574.738642,3236137.847107,300976.2231690547,2889440.321765,3430398.480914,209.0,228.33333333333334,48.01388688008223,193,283,144.0,147.66666666666666,13.868429375143151,136,163,6.0,6.0,4.0,2,10,0.0,3.333333333333333e-07,5.773502691896258e-07,0.0,1e-06,3951.123701,3798.372564,620.5146426635845,3115.747262,4328.246729,13743.0,12327.666666666666,3024.5001790929578,8855,14385,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
abp_capacity,abp,13,8,7,4096,4,0,0.168356,0.161119,0.015992739258801167,0.142787,0.172214,0.217628121,0.22899328300000002,0.02403120126162152,0.212752738,0.25659899,2918719.855544,3071143.738343,322294.48973037285,2853333.643026,3441377.716459,188.0,192.0,17.349351572897472,177,211,129.0,183.33333333333334,107.36076254075942,114,307,4.0,4.0,0.0,4,4,1e-06,1.3333333333333332e-06,1.5275252316519468e-06,0.0,3e-06,3514.530232,3890.3086146666665,935.8044401449033,3200.802282,4955.59333,11053.0,12208.666666666666,2022.4935929029127,11029,14544,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
