n,median_seconds,mean_seconds,samples
12,0.006947000,0.007022000,"[0.006475, 0.006947, 0.007644]"
13,0.036639000,0.036650000,"[0.0368, 0.036511, 0.036639]"
14,0.212056000,0.212003000,"[0.211708, 0.212056, 0.212245]"
15,1.322492000,1.322550667,"[1.322492, 1.321648, 1.323512]"
